0,30,start
1,30,start
2,30,start
3,30,start
4,30,start
5,30,start
6,30,start
7,30,start
8,30,start
9,30,start
10,30,start
11,30,start
12,30,start
13,30,start
14,30,start
15,30,start
16,30,start
17,30,start
18,30,start
19,30,start
20,30,start
21,30,start
22,30,start
23,30,start
24,30,start
25,30,start
26,30,start
27,30,start
28,30,start
29,30,start
30,32,preheat
31,34,preheat
32,36,preheat
33,38,preheat
34,40,preheat
35,42,preheat
36,44,preheat
37,46,preheat
38,48,preheat
39,50,preheat
40,52,preheat
41,54,preheat
42,56,preheat
43,58,preheat
44,60,preheat
45,62,preheat
46,64,preheat
47,66,preheat
48,68,preheat
49,70,preheat
50,72,preheat
51,74,preheat
52,76,preheat
53,78,preheat
54,80,preheat
55,82,preheat
56,84,preheat
57,86,preheat
58,88,preheat
59,90,preheat
60,92,preheat
61,94,preheat
62,96,preheat
63,98,preheat
64,100,preheat
65,102,preheat
66,104,preheat
67,106,preheat
68,108,preheat
69,110,preheat
70,112,preheat
71,114,preheat
72,116,preheat
73,118,preheat
74,120,preheat
75,122,preheat
76,124,preheat
77,126,preheat
78,128,preheat
79,130,preheat
80,132,preheat
81,134,preheat
82,136,preheat
83,138,preheat
84,140,preheat
85,142,preheat
86,144,preheat
87,146,preheat
88,148,preheat
89,150,soak
90,150,soak
91,150,soak
92,150,soak
93,150,soak
94,150,soak
95,150,soak
96,150,soak
97,150,soak
98,150,soak
99,150,soak
100,150,soak
101,150,soak
102,150,soak
103,150,soak
104,150,soak
105,150,soak
106,150,soak
107,150,soak
108,150,soak
109,150,soak
110,150,soak
111,150,soak
112,150,soak
113,150,soak
114,150,soak
115,150,soak
116,150,soak
117,150,soak
118,150,soak
119,150,soak
120,150,soak
121,150,soak
122,150,soak
123,150,soak
124,150,soak
125,150,soak
126,150,soak
127,150,soak
128,150,soak
129,150,soak
130,150,soak
131,150,soak
132,150,soak
133,150,soak
134,150,soak
135,150,soak
136,150,soak
137,150,soak
138,150,soak
139,150,soak
140,150,soak
141,150,soak
142,150,soak
143,150,soak
144,150,soak
145,150,soak
146,150,soak
147,150,soak
148,150,soak
149,150,soak
150,150,soak
151,150,soak
152,150,soak
153,150,soak
154,150,soak
155,150,soak
156,150,soak
157,150,soak
158,150,soak
159,150,soak
160,150,soak
161,150,soak
162,150,soak
163,150,soak
164,150,soak
165,150,soak
166,150,soak
167,150,soak
168,150,soak
169,150,soak
170,150,soak
171,150,soak
172,150,soak
173,150,soak
174,150,soak
175,150,soak
176,150,soak
177,150,soak
178,150,soak
179,150,soak
180,150,soak
181,150,soak
182,150,soak
183,150,soak
184,150,soak
185,150,soak
186,150,soak
187,150,soak
188,150,soak
189,150,soak
190,150,soak
191,150,soak
192,150,soak
193,150,soak
194,150,soak
195,150,soak
196,150,soak
197,150,soak
198,150,soak
199,150,soak
200,150,soak
201,150,soak
202,150,soak
203,150,soak
204,150,soak
205,150,soak
206,150,soak
207,150,soak
208,150,soak
209,150,soak
210,152,flow
211,154,flow
212,156,flow
213,158,flow
214,160,flow
215,162,flow
216,164,flow
217,166,flow
218,168,flow
219,170,flow
220,172,flow
221,174,flow
222,176,flow
223,178,flow
224,180,flow
225,182,flow
226,184,flow
227,186,flow
228,188,flow
229,190,flow
230,192,flow
231,194,flow
232,196,flow
233,198,flow
234,200,flow
235,202,flow
236,204,flow
237,206,flow
238,208,flow
239,210,flow
240,212,flow
241,214,flow
242,216,flow
243,218,flow
244,220,flow
245,222,flow
246,224,flow
247,226,flow
248,228,flow
249,230,flow
250,232,flow
251,234,flow
252,236,flow
253,238,flow
254,240,flow
255,238.5,cool
256,237,cool
257,235.5,cool
258,234,cool
259,232.5,cool
260,231,cool
261,229.5,cool
262,228,cool
263,226.5,cool
264,225,cool
265,223.5,cool
266,222,cool
267,220.5,cool
268,219,cool
269,217.5,cool
270,216,cool
271,214.5,cool
272,213,cool
273,211.5,cool
274,210,cool
275,208.5,cool
276,207,cool
277,205.5,cool
278,204,cool
279,202.5,cool
280,201,cool
281,199.5,cool
282,198,cool
283,196.5,cool
284,195,cool
285,193.5,cool
286,192,cool
287,190.5,cool
288,189,cool
289,187.5,cool
290,186,cool
291,184.5,cool
292,183,cool
293,181.5,cool
294,180,cool
295,178.5,cool
296,177,cool
297,175.5,cool
298,174,cool
299,172.5,cool
300,171,cool
301,169.5,cool
302,168,cool
303,166.5,cool
304,165,cool
305,163.5,cool
306,162,cool
307,160.5,cool
308,159,cool
309,157.5,cool
310,156,cool
311,154.5,cool
312,153,cool
313,151.5,cool
314,150,cool
315,148.5,cool
316,147,cool
317,145.5,cool
318,144,cool
319,142.5,cool
320,141,cool
321,139.5,cool
322,138,cool
323,136.5,cool
324,135,cool
325,133.5,cool
326,132,cool
327,130.5,cool
328,129,cool
329,127.5,cool
330,126,cool
331,124.5,cool
332,123,cool
333,121.5,cool
334,120,cool
335,118.5,cool
336,117,cool
337,115.5,cool
338,114,cool
339,112.5,cool
340,111,cool
341,109.5,cool
342,108,cool
343,106.5,cool
344,105,cool
345,103.5,cool
346,102,cool
347,100.5,cool
348,99,cool
349,97.5,cool
350,96,cool
351,94.5,cool
352,93,cool
353,91.5,cool
354,90,cool
355,88.5,cool
356,87,cool
357,85.5,cool
358,84,cool
359,82.5,cool
360,81,cool
361,79.5,cool
362,78,cool
363,76.5,cool
364,75,cool
